ID;DATA;TEL;CPF;SOLICITANTE;DS_RECEITA;exame_de_imagem
16;30/12/2020;1100000016;12345670016;Rodrigo;USO ORAL: 1) BUSCOPAM COMPOSTO --------------------- 01 COMP ATE DE 8 EM 8 HORAS, SE DOR ABDOMINAL.  2) DRAMIN B6 ---------------------------------------- 01 COMP ATE DE 8 EM 8 HORAS, SE NAUSEAS OU VOMITOS.  3) SACCHAROMYCES BOULARDII 200MG ----- 01 COMP DE 12 EM 12 HORAS, POR 5 DIAS.  4) ENTEROGERMINA ---------------------- INGERIR 01 FLACONETE AO DIA.  ;N�o
17;06/12/2020;1100000017;12345670017;Tatiana;uso  oral  continuo synthroid  137-------------------- tomar 1 cp por  via  oral cedo , em jejum , com agua e  aguardar 40 min para desjejum  ;N�o
18;09/05/2020;1100000018;12345670018;Gustavo;uso interno: 1) clavulin BD 400mg/5ml Dar 5 ml via oral de 12 em 12 horas por 10 dias  2) prelone 3mg/ml Dar 6ml 1x dia pr via oral por 5 dias  3) culturelle junior  Dar 1 cp mastigavel via oral 1x dia por 10 dias  ;N�o
19;23/04/2020;1100000019;12345670019;Isabela; uso oral  Mioflex A ..................... 1 cx. tomar 1 cp. VO 8/8 hs. Miosan caf 5 mg ........... 1 cx. tomar 1 cp. VO 12/12 hs. ;N�o
20;26/05/2020;1100000020;12345670020;João;USO ORAL 1. MUSCULARE 10MG ------- TOMAR 1 CP ANTES DE DORMIR POR 5 DIAS  ;N�o
21;11/11/2020;1100000021;12345670021;Maria;USO INTERNO 1. Ondansetrona 4 mg ------------------------------------- Diluir 1 comprimido em 10 mL de água, e oferta 3 mL, via oral, de até 8/8 horas se nausea ou vomito ;N�o
22;04/03/2020;1100000022;12345670022;José;USO ORAL 1) PROLIVE ---------------------------------------- 01 CX TOMAR 01 CP DE 12/12 HORAS POR 05 DIAS ;N�o
23;27/07/2020;1100000023;12345670023;Ana;SOLICITAÇÃO DE EXAME CID10: C50.9 SOLICITO: 1. US de mamas - 40901114 2. US de axilas - 40901211 JUSTIFICATIVA: Paciente atualmente com 57 anos, tratada por neoplasia de mama. Última imagem em novembro/2023, com nódulos novos, sem características suspeitas. Solicito exame para avaliação evolutiva. ;Sim
24;08/12/2020;1100000024;12345670024;Pedro;Uso oral 1) Paracetamol 100mg/ml suspensão¿¿¿¿¿¿¿¿¿¿¿¿¿¿.frasco Dar 1,3ml, via oral, de 6 em 6 horas se dor ou febre (temperatura maior que 37,8ºC) OU 2) Dipirona 50mg/ml suspensão¿¿¿¿¿¿¿¿¿¿¿¿¿¿¿.frasco Dar 5 ml, via oral, de 6 em 6 horas se dor ou febre (temperatura maior que 37,8ºC) OU 3) Ibuprofeno 100mg/ml gotas¿¿¿¿¿¿¿¿¿¿¿¿¿¿¿.frasco Dar 10 gotas, por boca de 6 em 6 horas se dor ou febre (temperatura maior que 37,8ºC) **VOLUME LÍQUIDOS: 1.000ml/dia CURVA TÉRMICA DATA                 HORA              TEMPERATURA 05/02                  15h                     38,3ºC ;N�o
25;09/08/2020;1100000025;12345670025;Mariana;USO ORAL 1) AMOXICILINA + CLAVULANATO 125+875MG ------------- 20CP TOMAR 1 CP DE 12 EM 12 HORAS POR 10 DIAS 2) PREDNISONA 20MG ----------- TOMAR 1 CP CEDO POR 4 DIAS LAVAGEM NASAL COM SORO - PELO MENOS 5 VEZES AO DIA ;N�o
26;31/07/2020;1100000026;12345670026;Carlos;Solicito sorologia para citomegalovirus                                        mononucleose                                        toxoplasmose  ;N�o
27;23/04/2020;1100000027;12345670027;Paula;USO ORAL: 1. AMOXICILINA + CLAVULANATO SOLUÇÃO ORAL (400+57MG/5ML) ------ Dar 3mL, de 12/12 horas, por 7 dias. 2. DIPIRONA SOLUÇÃO ORAL (50MG/ML) ------ Dar 3mL, de até 6/6 horas, se dor ou febre (T = 37,8 ou +). 3. PRATIUM GOTAS (140MG/ML) ------ Dar 7 gotas, se necessário intercalar com Dipirona. * Retornar ao PSI em 48 horas se febre ou imediatamente se piora do quadro, novos sintomas ou sinais de alarme (queda do estado geral / prostração / sonolência excessiva, inapetência, vômitos persistentes, sinais de desconforto respiratório, dor intensa, manchas no corpo...) ;N�o
28;08/12/2020;1100000028;12345670028;Lucas;SOLICITO AVALIAÇÃO PRE OPERATORIA PARA COLECISTECTOMIA VIDEOLAPAROSCOPICA PNEUMOLOGISTA GRATA ;N�o
29;24/06/2020;1100000029;12345670029;Juliana;USO ORAL: 1- PREDNISONA 20MG TOMAR 1 CP VO DE 12/12H POR 05 DIAS 2- LORATADINA 10MG TOMAR 1 CP VO AO DIA POR 05 DIAS 3- DIPIRONA 1G TOMAR 1 CP VO DE 6/6H SE DOR E OU FEBRE  4- ACETILCISTEINA 600MG DILUIR UM ENVELOPE EM 50ML DE ÁGUA, TOMAR A NOITE, POR 05 DIAS 5- SIGMA CLAV BD 875+125MG TOMAR 1 CP VO DE 12/12H POR 7 DIAS  ;N�o
30;23/12/2020;1100000030;12345670030;Fernando;USO ORAL 1- LISADOR DIP 1G _________________________________________________ TOMAR 1 COMPRIMIDO VIA ORAL, DE 8 EM 8 HORAS, SE DOR USO TOPICO 1- ARTROTOP CREME ________________________________________________ APLICAR NO LOCAL DA DOR, 3X AO DIA LAVAR AS MAOS APOS APLICAR ;N�o
31;19/06/2020;1100000031;12345670031;Cristina;USO ORAL 1- CETOPROFENO 100mg TOMAR 1CP DE 12 EM 12 POR ATE 5 DIAS 2- DIPIRONA 1g TOMAR 1CP DE 6 EM 6 SE DOR 3- MIOSAN 5mg TOMAR 1CP A NOITE POR 5 DIAS ;N�o
32;14/11/2020;1100000032;12345670032;Rafael;ENCAMINHAMENTO AO PSICOLOGO PACIENTE EM PROGRAMAÇÃO DE CIRURGIA BARIÁTRICA. SOLICITO AVALIAÇÃO E ACOMPANHAMENTO. GRATO. E669 ;N�o
33;12/08/2020;1100000033;12345670033;Patrícia;USO ORAL: 1. PARACETAMOL GOTAS 200MG/ML DAR 35 GOTAS DE 6/6 HORAS SE DOR OU FEBRE 2. TERAPIA DE REIDRATAÇÕ ORAL - 1.200ML DE SORO DE REIDRATAÇÃO ORAL (PEDIALYTE, REHIDRAT) - 2.300ML DE LÍQUIDOS COMUNS DO DIA A DIA (ÁGUA, ÁGUA DE COCO, CHÁS, SUCOS NATURAIS) OBS: - RETORNAR EM 48 HORAS PARA CONTROLE DE PLAQUETAS - RETORNAR IMEDIATAMENTE SE SINAIS DE ALARME:  DOR ABDOMINAL INTENSA E CONTINUA VOMITOS PERSISTENTES SENSAÇÃO DE DESMAIO SINAIS DE DESIDARATAÇÃO SANGRAMENTOS ESPONTANEOS (NARINAS, GENGIVAS, URINA, FEZES, VOMITO) FALTA DE AR ;N�o
34;22/01/2020;1100000034;12345670034;Vinícius;USO ORAL  1-FLANCOX 500 MG  1 CP DE 12/12 H POR 5 DIAS  2-NOVALGINA 1 G  1 CP DE 6/6 H SE DOR  ;N�o
35;13/09/2020;1100000035;12345670035;Camila;USO ORAL 1) DIPIRONA 1 G -----------  TOMAR 01 COMPRIMIDO DE 6/6 HORAS SE DOR OU FEBRE 2) LORATADINA 10 MG -------- TOMAR 01 COMPRIMIDO DE 12/12 HORAS POR 05 DIAS 3) EXPEC --------------- TOMAR 10 ML DE 8/8 HORAS POR 05 DIAS 4) PREDNISONA 20 MG -------------- TOMAR 01 CP AO DIA POR 05 DIAS USO NASAL 5) RINOSORO JET 0,9% SPRAY NASAL 100 ML ------ REALIZAR LAVAGEM NASAL DE 6/6 HORAS ;N�o
36;21/08/2020;1100000036;12345670036;Rodrigo;USO ORAL   1.DIPIRONA SOLUÇÃO ORAL (50MG/ML) ------------------------ DAR 4 ML, DE 6/6H SE DOR OU FEBRE   USO NASAL   1.SORO FISIOLÓGICO ---------------------------------------------- LAVAR O NARIZ COM 5ML DE SORO EM CADA NARINA DE 3/3H OU SEMPRE QUE NECESSÁRIO E 2. INALAÇÃO COM SORO FISIOLÓGICO 0,9% ----- 5ML NEBULIZAR DE 3-4 VEZES AO DIA ** RETORNAR EM 48H SE PERSISTÊNCIA DA FEBRE OU IMEDIATO AO PS CASO APAREÇAM SINAIS DE ALARME ;N�o
37;29/12/2020;1100000037;12345670037;Tatiana;USO ORAL 1) NOVALGINA 1 G ----------- 01 CX TOMAR 01 CP DE 6/6 HORAS SE DOR OU FEBRE ;N�o
38;24/06/2020;1100000038;12345670038;Gustavo;USO ORAL 1. FUROSEMIDA 40MG 1CP CEDO POR 7 DIAS 2. PRODNISOLONA 20MG 1CP X DIA POR 3 DIAS ;N�o
39;15/12/2020;1100000039;12345670039;Isabela;USO ORAL 1- DIPIRONA 1G TOMAR 1CP 6/6H SE DOR OU FEBRE 2- FLORAX SM TOMAR 1 FRASCO 12/12H POR 2 DIAS 3- VONAU FLASH 8MG TOMAR 1CP SUBLINGUAL 12/12H SE NAUSEA ;N�o
40;17/03/2020;1100000040;12345670040;João;USO ORAL  1- PARACETAMOL 750MG TOMAR 1 CP VO DE 6/6H SE DOR E OU FEBRE  ;N�o
41;01/06/2020;1100000041;12345670041;Maria;USO ORAL 1. CELESTAMINE ---------------- TOMAR 10 ML DE 8/8H POR 5 DIAS 2. PROFENID 100 MG ------- TOMAR 01 CP DE 12/12H POR 5 DIAS 3. ACETILCISTEINA 600MG TOMAR 01 SACHE AO DIA POR 5-7 DIAS  ;N�o
42;22/03/2020;1100000042;12345670042;José;USO ORAL 1- LISADOR DIP 1G _________________________________________________ TOMAR 1 COMPRIMIDO VIA ORAL, DE 8 EM 8 HORAS, POR 7 DIAS 2- MAXSULID 400MG _________________________________________________ TOMAR 1 COMPRIMIDO VIA ORAL, DE 12 EM 12 HORAS, POR 7 DIAS ;N�o
43;21/12/2020;1100000043;12345670043;Ana;Ao Funcional Paciente apresentando redução de mobilidade de quadril, tendinite de tornozelo e redução fraqueza do tibial. Solicito exercicios que foquem em mobilidade de quadril (alongamento), fortalecimento do tibial. ;N�o
44;15/08/2020;1100000044;12345670044;Pedro; USO ORAL ..........  MIOFLEX A ..........  TOMAR 1 COMPRIMIDO VIA ORAL A CADA 12 HORAS POR 5 DIAS PARACETAMOL 500MG ..........  TOMAR 01 COMPRIMIDO A CADA 06 HORAS SE SENTIR DOR ;N�o
45;25/01/2020;1100000045;12345670045;Mariana;USO ORAL 1. Escopolamina 10mg ___________________ Tomar 1 comprimido de 8/8h se dor abdominal 2. Ondansetrona 8mg ____________________________________ Tomar 1 comprimido via sublingual de 8/8h se tiver náuseas ou vômitos 3.Soro de reidratação Oral _______________________________ Diluir 1 sachê em 1L de água e tomar 1 copo (250ml) após cada episódio de evacuação líquida 4. Floratil 200mg ________________________________________ Tomar 1 cp 12/12h  por 3 dias ;N�o
46;15/11/2020;1100000046;12345670046;Carlos;USO ORAL 1)PREDNISONA 20MG--- 01CX TOMAR 02CP PELA MANHÃ POR 03 DIAS 2)DIPIRONA 500MG---- 01CX TOMAR 02CP DE 6/6HRS SE DOR OU FEBRE 3)ALEKTOS 20MG--- 01CX TOMAR 01CP A NOITE POR 05 DIAS USO NASAL 4)BUDESONIDA SPRAY NASAL 100MCG---- 01CX USAR 02 JATOS EM CADA NARINA DE 12/12HRS POR 30 DIAS ;N�o
47;08/11/2020;1100000047;12345670047;Paula;"USO ORAL:  1)	PARACETAMOL OU DIPIRONA GOTAS ----------------  DAR 40 GOTAS, DE 6/6 HORAS, SE DOR OU FEBRE (TEMPERATURA MAIOR OU IGUAL A 37,8ºC).  2)	HEXOMEDINE SPRAY------------- APLICAR 1 JATO EM CADA LADO DA GARGANTA, DE 4/4 HORAS ATE MELHORA DO QUADRO.               3) VONAU FLASH 4MG  ----- DAR 2 COMPRIMIDOS DE 8/8 HORAS SE NAUSEAS OU VOMITOS. # ORIENTAÇÕES EM CASO DE FEBRE: - CASO A FEBRE RETORNE ANTES DO HORÁRIO DA MEDICAÇÃO, DAR BANHO OU FAZER COMPRESSAS DE ÁGUA FRIA EM REGIÕES DE AXILAS E VIRILHA; - O BANHO DEVE SER DADO EM TEMPERATURA AMBIENTE (EVITAR BANHO MUITO FRIO OU QUENTE); - REALIZAR ¿DIÁRIO DA FEBRE¿¿: ANOTAR VALOR E HORÁRIO DA TEMPERATURA, SE FEBRE; - RETORNAR PRECOCEMENTE SE SINAIS DE ALARME. ";N�o
48;21/12/2020;1100000048;12345670048;Lucas;USO ORAL 1- DIPIRONA 500MG _________________________________________________ TOMAR 1 COMPRIMIDO VIA ORAL, DE 8 EM 8 HORAS, SE DOR  2- ALIVIUM 400MG _________________________________________________ TOMAR 1 COMPRIMIDO VIA ORAL, DE 12 EM 12 HORAS, POR 5 DIAS  ORIENTAÇÕES COMPRESSA GELADA LOCAL ..........  - REALIZAR 20 MINUTOS A CADA 03 HORAS, NÃO REALIZAR DIRETAMENTE SOB A PELE. ;N�o
49;24/04/2020;1100000049;12345670049;Juliana;USO ORAL: - Diosmina + Hesperidina 450mg + 50mg  ------------------------------------  Tomar 6 comprimidos ao dia nos primeiros 4 dias, seguido de 4 comprimidos ao dia por 3 dias, e, em seguida, 2 comprimidos ao dia por 3 meses. *Tomar sempre de 12 em 12 horas. USO RETAL: - Proctyl supositório --------------------------------------------------------- Aplicar 3 vezes ao dia, após evacuação, até melhora dos sintomas.  Continuar o tratamento com uma aplicação de um supositório ao dia. ;N�o
50;23/06/2020;1100000050;12345670050;Fernando;USO ORAL MYLANTA PLUS TOMAR 10ML DE 6/6H, SE DOR NO ESTOMAGO  ;N�o
51;17/11/2020;1100000051;12345670051;Cristina;USO ORAL  Novocilin (Amoxicilina) 400mg / 5mL   Tomar 5 mL a cada 12 horas por 7 dias.  Alivium gotas (Ibuprofeno) 100mg/mL    Tomar 12 gotas a cada 6 horas, se dor ou febre.  ;N�o
52;10/03/2020;1100000052;12345670052;Rafael;USO INTERNO BUSCOPAN COMPOSTO¿¿¿¿. TOMAR 01 COMPRIMIDO DE 6/6 HORAS USO INTERNO ANNITA 500 MG¿¿¿¿.. TOMAR 01 COMPRIMIDO DE 12/12 HORAS POR 03 DIAS USO INTERNO IMOSEC 02 MG¿¿¿¿. TOMAR 02 COMPRIMIDOS NO PRIMEIRO EPISODIO DE DIARREIA E MANTER 01 COMPRIMIDO A CADA NOVO EPISÓDIO,  LIMITE DE 08 COMPRIMIDOS NAS 24 HORAS, NÃO TOMAR SE NÃO APRESENTAR DIARREIA. USO INTERNO VONAU FLASH 08 MG¿¿¿. COLOCAR SUB LINGUAL DE NÁUSEAS OU VÔMITOS ATÉ 6/6 HORAS  ;N�o
53;09/03/2020;1100000053;12345670053;Patrícia;USO ORAL 1- NAPROXENO SODICO 275mg TOMAR 1CP DE 12 EM 12 POR ATE 5 DIAS 2- BUSCOPAM COMPOSTO TOMAR 1CP DE 8 EM 8 SE DOR 3- MONURIL 3g TOMAR 1 ENVELOPE EM AGUA, A NOITE, DOSE UNICA ;N�o
54;07/03/2020;1100000054;12345670054;Vinícius;Uso oral 1- Amoxicilina 400 mg/ml --------------------------- 01 fr Dar 4 ml VO de 12/12h, por 7 dias 2- Dipirona gotas --------------------------------------- 01 fr Dar 12 gts VO de 6/6h, se dor ou febre (tax>37,8ºc) Uso nasal 1- Soro fisiologico 0,9% -------------------------- Lavar as narinas várias vezes ao dia ;N�o
55;11/02/2020;1100000055;12345670055;Camila;Uso oral:  1 - Ciprofloxacino 500 mg Tomar 1 cp 12/12 hs por 7 dias.  2 - Pyridium  Tomar 1 cp 12/12 hs se dor.  3 - Buscopam composto Tomar 1 cp 8/8 hs se dor abdominal.  Obs: Retorno segunda para resultado da urocultura.  ;N�o
56;21/10/2020;1100000056;12345670056;Rodrigo;USO ORAL  1. Florax ------------------1cx Diluir 1 flaconete 1x ao por 5 dias  2. Buscopan gotas -----------1fr  Dar 20 gt até de 8/8h se dor  3. Racecadotrila 100mg-------1cx  Diluir 1 cp em 10 ml de água e dar  1x ao dia  se persistencia de diarreia aquosa por 3 dias ;N�o
57;27/08/2020;1100000057;12345670057;Tatiana;USO ORAL: 1-CICLOBENZAPIRNA 5MG---------- TOMAR 01 CP AS 18H 2-DIPIRONA 1G-------------------- TOMAR 01 CP DE 8/8H SE DOR ;N�o
58;11/01/2020;1100000058;12345670058;Gustavo;USO ORAL (CONTÍNUO): - VENALOT ---------------------------------- TOMAR 1 COMPRIMIDO DE 12 EM 12 HORAS. - VENALOT CREME --------------------------- APLICAR DUAS VEZES AO DIA.    ;N�o
59;21/02/2020;1100000059;12345670059;Isabela;USO ORAL 1. AZITROMICINA 500MG 1CP X DIA POR 5 DIAS 2. PARACETAMOL 500MG 1CP 6/6HS SE DOR OU FEBRE 3. KOIDE D ----- XAROPE 10ML 8/8HS POR 5 DIAS ;N�o
60;01/06/2020;1100000060;12345670060;João;uso oral: 1)enterogermina flaconete dar 1 flaconete,2 vezes ao dia,por 3 dias 2)desalex xarope dar 2,5 ml,via ora,1 vez ao dia,por 5 dias ;N�o
61;14/10/2020;1100000061;12345670061;Maria;Uso Oral:  1- Amoxicilina + Clavulanato 875 mg + 125 mg ------------------------------------------------------------------------------------ tomar 01 cp de 12/12h por 07 dias.  ;N�o
62;29/12/2020;1100000062;12345670062;José;Uso Oral:  1-Omeprazol 20 mg ----------------------------------------------------------------------- tomar 01 cp de 12/12h por 07 dias.  2- Nimesulida 100 mg ------------------------------------------------------------------- tomar 01 cp de 12/12h somente por 03 dias.  3- Dipirona 500 mg ----------------------------------------------------------------------- tomar 01 cp de 6/6h se dor ou febre. 4- Paracetamol 500 mg ------------------------------------------------------------------ tomar 01 cp de 6/6h se dor ou febre.  ;N�o
63;07/07/2020;1100000063;12345670063;Ana;USO ORAL 1. DIPIRONA 1G --- TOMAR 1CP DE 6/6H SE DOR OU FEBRE. 2. CETOPROFENO 150MG --- TOMAR 1CP DE 12/12H, APÓS REFEIÇÕES, POR ATÉ 5 DIAS. USO TÓPICO 1. RIFAMICINA TÓPICO --- PULVERIZAR FERIDA, 4 VEZES AO DIA, POR 7 DIAS. ;N�o
64;05/06/2020;1100000064;12345670064;Pedro;1-CODEINA 30 MG + PARACETAMOL 500 MG ------------- 1 CX TOMAR 01 COMPRIMIDO , VIA ORAL , DE 8 EM 8 HORAS SE DOR FORTE. ;N�o
65;31/01/2020;1100000065;12345670065;Mariana; USO ORAL 1) DIPIRONA 500 MG _______ TOMAR 2 CP 6/6H SE DOR 2) PLASIL 10 MG _______ TOMAR 1 CP 8/8H SE NAUSEA OU VOMITO  ;N�o
66;25/05/2020;1100000066;12345670066;Carlos;A paciente acima encontra-s egestante de 23 semanas e 5 dias em seguimento pré-natal regular e encontra-se apta do ponto de vista obstétrico a realizar natação e hidroginástica.  Att ;N�o
67;16/09/2020;1100000067;12345670067;Paula;USO ORAL  1) DIPIRONA 1G TOMAR 01 CP VO DE 6/6 HS SE DOR OU FEBRE  2) ONDANSETRONA  8 MG  TOMAR 01 CP VO DE 8/8 HS SE NAUSEAS OU VOMITOS  HIDRATAÇÃO VIGOROSA  ;N�o
68;22/05/2020;1100000068;12345670068;Lucas;1- DIPIRONA 1,GR -----------------------        1 CP 3X/DIA SE DOR  2-PARACETAMOL 750 MG------------------         1  3X/DIA   3- CETOPROFENO 150 --------------------       1  CP  1X/DIA SE DOR INTENSA   4- HIDRATAÇÃO VIGOROSA ( 2-3LT LIQ/DIA )  ;N�o
69;24/09/2020;1100000069;12345670069;Juliana;USO ORAL 1. DIPIRONA 01G ----- TOMAR 01 CP DE 06/06H SE DOR OU FEBRE 2. ALIVIUM 600MG ------- TOMAR 01 CP DE 08/08H POR 05 DIAS 3. NAIRE 20MG ----- TOMAR 01 CP A NOITE POR 05 DIAS  ;N�o
70;09/12/2020;1100000070;12345670070;Fernando;USO ORAL 1) Allegra xarope pediatrico ------------------ Tomar 5 ml via oral de 12/12h por 5 dias 2) Prednisolona 3mg/ml ------------ Tomar 5,5 ml 1x ao dia por 5 dias ;N�o
71;09/11/2020;1100000071;12345670071;Cristina;USO ORAL 1) PREDNISOLONA DAR 3,5 ML 1 VEZ AO DIA, CEDO, POR 4 DIAS USO INALATÓRIO 1) SALBUTAMOL SPRAY (100MCG) FAZER 3 PUFFS DE 6/6 HORAS POR 5 DIAS, COM MASCARA E ESPAÇADOR USO NASAL 1) SORO FISIOLÓGICO 0,9% REALIZAR LAVAGEM NASAL DE 3/3 HORAS ;N�o
72;25/06/2020;1100000072;12345670072;Rafael;  USO ORAL 1. ENTEROGERMINA ---- 10 FCOS 1FCO 12/12HS POR 5 DIAS 2. BUSCOPAM COMPOSTO  1CP 8/8HS SE DOR 3. DRAMIN B6 1CP 8/8HS SE NAUSEAS OU VOMITOS ;N�o
73;06/10/2020;1100000073;12345670073;Patrícia; USO INTERNO CONTINUO BETATRINTA -------------------- APLICAR 1 AMP, VIA IM, DOSE UNICA PREDNISONA 5 MG --------------- TOMAR 2 CP, VIA ORAL, APOS O CAFÉ DA MANHÃ CURCUMAGIC (PURAVIDA) -------- TOMAR 1 CP, VIA ORAL, 1 VEZ AO DIA FIXARE -------------------------- TOMAR 1 CP, VIA ORAL, 1 VEZ AO DIA RISEDRONATO 35 MG ------------- TOMAR 1 CP, VIA ORAL, 1 VEZ POR SEMANA USO TOPICO CONTINUO CATAFLAM PRO XT ---------------- APLICAR NOS LOCAIS DE DOR, 1 A 2 VEZES AO DIA ;N�o
74;05/03/2020;1100000074;12345670074;Vinícius;USO ORAL 1) ASTRO 500MG TOMAR 01 CP DE 24/24 HORAS POR 05 DIAS 2) MAXSULID TOMAR 01 CP DE 12/12 HORAS POR 05 DIAS 3) NOVALGINA 1G TOMAR 01 CP DE 6/6 HORAS SE DOR OU FEBRE ;N�o
75;19/03/2020;1100000075;12345670075;Camila;Uso Oral Fosfomicina 8g ---- Diluir o conteúdo de 1 envelope em 75 ml de água. Tomar dose única ;N�o
76;09/07/2020;1100000076;12345670076;Rodrigo;USO TÓPICO: 1. TROK G PASSAR NO LOCAL 3X AO DIA POR 5 DIAS ;N�o
77;23/03/2020;1100000077;12345670077;Tatiana;  USO ORAL:  1) CITONEURIM 5000  TOMAR 1 COMPRIMIDO POR SEMANA POR 12 SEMANAS  2) VITAMINA D 50,0000  TOMAR 1 COMPRIMIDO POR SEMANA POR 12 SEMANAS  3) FERROPOLIMALTOSE 400mg  TOMAR 1 COMPRIMIDO NO ALMOCO, POR 90 DIAS, TODOS OS DIAS ;N�o
78;20/05/2020;1100000078;12345670078;Gustavo;SOLICITAÇÃO DE EXAME CID10: C50.9 SOLICITO: 1. US de mamas - 40901114 2. US de axilas - 40901211 JUSTIFICATIVA: Paciente atualmente com 57 anos, tratada por neoplasia de mama. Última imagem em novembro/2023, com nódulos novos, sem características suspeitas. Solicito exame para avaliação evolutiva. ;Sim
79;20/11/2020;1100000079;12345670079;Isabela; USO ORAL: 1) Dipirona 500mg/ml ............................... 01 frasco Dar 15 gotas de até 6/6h, se dor ou febre. 2) Desloratadina 0,5mg/ml ......................... 01 frasco Dar 5 ml 1x ao dia, por 5 a 7 dias. USO NASAL: 1) Soro fisiológico 0,9% ............................ 01 frasco Lavar as narinas com seringa, várias vezes ao dia, sempre que necessário. ;N�o
